treat,response_wave_ID,exp_1_prompt,meta_OS,age_65,educ,PID,crt,gender,age,polknow,internet_usage,ambivalent_sexism,post_favor_Sanders
ad,SV_0xlqWlOfO10wuYl,control,mobile,>65,College,Republican,0,Male,73,0.7142857142857143,6,3,0
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0,Male,31,0.5714285714285714,7,2,45
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0,Female,56,1,5,3.4,5
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,College,Independent,0,Female,35,0.2857142857142857,5,3,41
control,SV_0xlqWlOfO10wuYl,control,mobile,>65,College,Democrat,0.3333333333333333,Female,68,1,7,2,0
control,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Republican,0,Male,44,0.8571428571428571,7,3.4,73
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,40,0.5714285714285714,7,3,68
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Democrat,0.3333333333333333,Male,27,0.42857142857142855,7,2.4,45
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Independent,0.3333333333333333,Male,40,0.5714285714285714,6,3.8,81
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,45,0.7142857142857143,7,2.8,70
audio,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0,Male,41,0.7142857142857143,7,3.2,88
audio,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Republican,0.3333333333333333,Female,38,0.7142857142857143,7,4.2,73
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Democrat,0,Male,40,1,7,2.6,60
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Republican,0.3333333333333333,Male,40,0.8571428571428571,7,3,50
skit,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0.3333333333333333,Male,40,0.8571428571428571,7,4.4,63
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Independent,0,Male,60,0.8571428571428571,7,3,0
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Democrat,0.3333333333333333,Male,43,1,5,2.8,80
skit,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Republican,0.3333333333333333,Female,30,0.5714285714285714,7,1,100
skit,SV_0xlqWlOfO10wuYl,control,mobile,<=65,College,Republican,0.3333333333333333,Male,37,0.42857142857142855,7,4,78
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.3333333333333333,Female,73,0.7142857142857143,6,3,50
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Independent,0,Female,66,1,6,3.2,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Female,72,0.8571428571428571,6,3.6,0
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Independent,0,Male,70,0.8571428571428571,6,1.8,76
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Female,66,0.8571428571428571,7,4.4,50
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,43,0.42857142857142855,7,4.6,98
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Republican,0.3333333333333333,Male,64,1,6,4.2,0
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,40,0.5714285714285714,6,4.8,69
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Male,76,1,6,2.4,85
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Independent,0,Male,66,1,6,3.4,1
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Male,49,0.5714285714285714,7,2.4,61
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,36,0.7142857142857143,6,2,54
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.3333333333333333,Female,76,0.5714285714285714,6,2.6,0
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Female,67,1,6,2.8,43
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Republican,0,Female,69,1,7,2.6,0
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.6666666666666666,Male,68,1,6,2.4,70
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Independent,0.6666666666666666,Female,61,1,7,1.8,50
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0,Male,62,0.8571428571428571,7,2.2,56
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.3333333333333333,Female,67,1,6,2.8,25
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.3333333333333333,Female,73,1,6,3.2,0
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.3333333333333333,Male,73,1,6,2,7
video,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Democrat,0,Male,45,0.8571428571428571,7,3.6,67
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.3333333333333333,Female,62,1,7,3.4,0
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0,Male,32,0.8571428571428571,7,3.4,26
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.3333333333333333,Female,58,1,6,2.2,54
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Female,26,0.7142857142857143,7,3.8,70
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0,Male,35,0.8571428571428571,7,2.6,77
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0,Male,23,1,7,3,50
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0,Female,35,0.7142857142857143,7,2.2,38
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,36,0.7142857142857143,7,3,100
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0,Male,40,0.5714285714285714,7,2.6,64
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.6666666666666666,Male,31,1,7,3.8,69
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,<High school,Democrat,0,Female,77,0.7142857142857143,6,3.2,100
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Republican,0.6666666666666666,Male,33,0.8571428571428571,6,2,38
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Female,58,1,7,3.4,80
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,40,1,6,2,41
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Male,27,1,7,3.6,31
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,44,1,7,2.4,74
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0,Male,30,0.8571428571428571,6,3.4,27
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,43,0.7142857142857143,7,3.2,80
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.3333333333333333,Male,40,0.5714285714285714,7,1.8,100
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,35,0.7142857142857143,7,5,30
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.6666666666666666,Male,50,1,7,2.4,60
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,31,0.42857142857142855,7,3.8,68
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,40,0.7142857142857143,6,3.2,71
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Male,36,0.7142857142857143,6,3.6,29
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,30,0.7142857142857143,7,4.4,100
audio,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0,Female,68,0.8571428571428571,6,3.6,100
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Democrat,0,Female,71,1,7,2.2,56
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.6666666666666666,Male,40,0.8571428571428571,6,3.4,48
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Republican,0.3333333333333333,Male,26,1,7,2.8,0
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0,Male,73,0.8571428571428571,6,4.6,0
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0.3333333333333333,Male,50,0.7142857142857143,6,3,68
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Female,69,0.7142857142857143,5,5,9
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.3333333333333333,Female,76,1,7,2.4,63
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Democrat,0.6666666666666666,Male,81,1,6,3.4,67
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Male,72,1,7,4.8,0
